ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,outcome_60d,outcome_90d,outcome_180d,iwm_60d,iwm_90d,iwm_180d
SLVM,Sylvamo Corp,2021-11-16,2021-11-11,2021-11-15,1847245,3,1304.6,$500M-$5B,False,False,29.51760482788086,-6.24,-6.15,-17.14,2021-11-23,2021-11-26,2021-12-16,False,,5.8,6.89,17.16,-15.48,-13.29,-19.55
ATEC,"Alphatec Holdings, Inc.",2021-11-26,2021-11-11,2021-11-23,3299541,3,1049.5,$500M-$5B,True,False,10.81999969482422,-0.65,5.45,15.34,2021-12-03,2021-12-06,2021-12-27,False,,-9.84,21.57,-10.69,-13.14,-9.75,-9.12
GIC,Global Industrial Co,2021-12-16,2021-12-16,2021-12-16,184100315,3,1321.2,$500M-$5B,False,False,35.60779571533203,1.75,3.43,-10.43,2021-12-23,2021-12-27,2022-01-18,False,,-21.29,-22.7,-24.99,-8.16,-12.13,-15.97
PRGO,Perrigo Co Plc,2021-12-20,2021-12-03,2021-12-17,1239177,3,4397.6,$500M-$5B,True,False,33.53178405761719,1.4,-0.2,1.53,2021-12-27,2021-12-30,2022-01-19,False,,1.01,-10.08,2.57,-3.3,-12.64,-12.99
NOTV,"Inotiv, Inc.",2022-02-22,2022-02-16,2022-02-18,489360,3,653.3,$500M-$5B,False,False,22.670000076293945,14.38,5.82,0.49,2022-03-01,2022-03-04,2022-03-24,False,,-30.55,-61.77,-36.71,-10.21,-12.44,-7.8
EXLS,"Exlservice Holdings, Inc.",2022-03-18,2022-03-11,2022-03-16,604727,4,913.6,$500M-$5B,False,False,27.70400047302246,-1.28,-1.6,3.87,2022-03-25,2022-03-28,2022-04-18,False,,1.29,7.97,33.35,-17.9,-9.88,-10.91
RILY,"B. Riley Financial, Inc.",2022-05-13,2022-05-02,2022-05-13,18026711,3,1106.4,$500M-$5B,True,False,40.443580627441406,2.19,2.03,-5.35,2022-05-20,2022-05-23,2022-06-13,False,,15.77,9.07,-7.93,10.15,-3.5,10.58
JXN,Jackson Financial Inc.,2022-05-17,2022-05-13,2022-05-13,978463,4,2463.2,$500M-$5B,False,False,27.838722229003903,-4.02,7.12,-16.8,2022-05-24,2022-05-27,2022-06-16,False,,-2.86,-12.49,41.81,9.99,-9.41,9.2
RILY,"B. Riley Financial, Inc.",2022-05-24,2022-05-09,2022-05-20,9033160,3,1134.8,$500M-$5B,True,False,42.304649353027344,5.33,5.41,-12.15,2022-05-31,2022-06-03,2022-06-23,False,,17.78,-8.53,-16.96,11.16,-2.82,9.75
PVH,Pvh Corp. /de/,2022-09-07,2022-09-06,2022-09-06,1200094,3,3756.3,$500M-$5B,True,False,57.517696380615234,-4.15,-5.01,-17.71,2022-09-14,2022-09-19,2022-10-07,False,,19.08,52.76,51.64,3.15,3.55,-3.11
PLAY,"Dave &amp; Buster'S Entertainment, Inc.",2022-10-18,2022-10-11,2022-10-14,1059287,3,1714.3,$500M-$5B,False,False,35.13999938964844,4.87,14.54,12.12,2022-10-25,2022-10-28,2022-11-17,False,,18.37,11.93,25.35,7.89,8.54,9.06
